,u1
"(9, '학생회관')",0.0
"(1, '중앙도서관')",0.0
"(13, '축구장')",0.0
"(9, '학사과정')",0.0
"(9, '자연과학동')",0.0
"(20, '신재생에너지동')",0.0
"(21, '다산빌딩')",0.0
"(20, '중앙창고')",0.0
"(10, '학생회관')",0.0
"(13, '산업협력관')",0.0
"(20, '삼성환경동')",0.0
"(6, '중앙연구기기센터')",0.0
"(10, '자연과학동')",0.0
"(1, '학사과정')",0.0
"(20, '중앙도서관')",0.0
"(12, 'LG도서관')",0.0
"(23, 'LG도서관')",0.0
"(4, '대학C동')",0.0
"(16, '축구장')",0.0
"(1, '동물실험동')",0.0
"(12, '신재생에너지동')",0.0
"(23, '신재생에너지동')",0.0
"(20, '학생회관')",0.0
"(20, '학사과정')",0.0
"(23, '중앙창고')",0.0
"(16, '산업협력관')",0.0
"(12, '삼성환경동')",0.0
"(23, '삼성환경동')",0.0
"(8, '기숙사 B동')",0.0
"(19, '기숙사 B동')",0.0
"(23, '중앙도서관')",0.0
"(4, 'LG도서관')",0.0
"(20, '동물실험동')",0.0
"(10, '시설관리동')",0.0
"(5, '다산빌딩')",0.0
"(15, '대학C동')",0.0
"(12, '학생회관')",0.0
"(17, '중앙연구기기센터')",0.0
"(23, '학생회관')",0.0
"(12, '학사과정')",0.0
"(12, '자연과학동')",0.0
"(23, '학사과정')",0.0
"(23, '자연과학동')",0.0
"(4, '삼성환경동')",0.0
"(13, '다산빌딩')",0.0
"(0, '기숙사 B동')",0.0
"(11, '기숙사 B동')",0.0
"(12, '동물실험동')",0.0
"(23, '동물실험동')",0.0
"(2, '시설관리동')",0.0
"(15, 'LG도서관')",0.0
"(7, '대학C동')",0.0
"(18, '대학C동')",0.0
"(1, '기숙사 B동')",0.0
"(4, '학생회관')",0.0
"(9, '중앙연구기기센터')",0.0
"(19, '축구장')",0.0
"(8, '축구장')",0.0
"(4, '학사과정')",0.0
"(4, '자연과학동')",0.0
"(15, '신재생에너지동')",0.0
"(21, '시설관리동')",0.0
"(16, '다산빌딩')",0.0
"(15, '중앙창고')",0.0
"(5, '학생회관')",0.0
"(8, '산업협력관')",0.0
"(19, '산업협력관')",0.0
"(4, '동물실험동')",0.0
"(15, '삼성환경동')",0.0
"(1, '중앙연구기기센터')",0.0
"(5, '자연과학동')",0.0
"(15, '중앙도서관')",0.0
"(7, 'LG도서관')",0.0
"(18, 'LG도서관')",0.0
"(0, '축구장')",0.0
"(11, '축구장')",0.0
"(7, '신재생에너지동')",0.0
"(18, '신재생에너지동')",0.0
"(15, '학생회관')",0.0
"(20, '중앙연구기기센터')",0.0
"(15, '학사과정')",0.0
"(18, '중앙창고')",0.0
"(0, '산업협력관')",0.0
"(11, '산업협력관')",0.0
"(7, '삼성환경동')",0.0
"(18, '삼성환경동')",0.0
"(3, '기숙사 B동')",0.0
"(14, '기숙사 B동')",0.0
"(18, '중앙도서관')",0.0
"(15, '동물실험동')",0.0
"(5, '시설관리동')",0.0
"(10, '대학C동')",0.0
"(17, '중앙창고')",0.0
"(7, '학생회관')",0.0
"(12, '중앙연구기기센터')",0.0
"(18, '학생회관')",0.0
"(23, '중앙연구기기센터')",0.0
"(22, '축구장')",0.0
"(7, '자연과학동')",0.0
"(18, '학사과정')",0.0
"(18, '자연과학동')",0.0
"(7, '학사과정')",0.0
"(13, '시설관리동')",0.0
"(17, '중앙도서관')",0.0
"(8, '다산빌딩')",0.0
"(19, '다산빌딩')",0.0
"(22, '산업협력관')",0.0
"(7, '동물실험동')",0.0
"(18, '동물실험동')",0.0
"(9, '신재생에너지동')",0.0
"(10, 'LG도서관')",0.0
"(2, '대학C동')",0.0
"(9, '중앙창고')",0.0
"(4, '중앙연구기기센터')",0.0
"(3, '축구장')",0.0
"(14, '축구장')",0.0
"(10, '신재생에너지동')",0.0
"(16, '시설관리동')",0.0
"(9, '중앙도서관')",0.0
"(0, '다산빌딩')",0.0
"(11, '다산빌딩')",0.0
"(10, '중앙창고')",0.0
"(3, '산업협력관')",0.0
"(14, '산업협력관')",0.0
"(21, '대학C동')",0.0
"(10, '삼성환경동')",0.0
"(10, '중앙도서관')",0.0
"(2, 'LG도서관')",0.0
"(2, '신재생에너지동')",0.0
"(15, '중앙연구기기센터')",0.0
"(19, '자연과학동')",0.0
"(9, '동물실험동')",0.0
"(10, '학사과정')",0.0
"(21, 'LG도서관')",0.0
"(2, '삼성환경동')",0.0
"(22, '다산빌딩')",0.0
"(10, '동물실험동')",0.0
"(21, '신재생에너지동')",0.0
"(22, 'LG도서관')",0.0
"(5, '대학C동')",0.0
"(21, '삼성환경동')",0.0
"(12, '중앙창고')",0.0
"(2, '학생회관')",0.0
"(7, '중앙연구기기센터')",0.0
"(18, '중앙연구기기센터')",0.0
"(17, '기숙사 B동')",0.0
"(6, '축구장')",0.0
"(2, '학사과정')",0.0
"(2, '자연과학동')",0.0
"(8, '시설관리동')",0.0
"(19, '시설관리동')",0.0
"(12, '중앙도서관')",0.0
"(3, '다산빌딩')",0.0
"(14, '다산빌딩')",0.0
"(22, '삼성환경동')",0.0
"(6, '산업협력관')",0.0
"(13, '대학C동')",0.0
"(2, '동물실험동')",0.0
"(21, '학생회관')",0.0
"(4, '신재생에너지동')",0.0
"(5, 'LG도서관')",0.0
"(21, '학사과정')",0.0
"(21, '자연과학동')",0.0
"(4, '중앙창고')",0.0
"(9, '기숙사 B동')",0.0
"(22, '학생회관')",0.0
"(21, '동물실험동')",0.0
"(5, '신재생에너지동')",0.0
"(0, '시설관리동')",0.0
"(11, '시설관리동')",0.0
"(22, '자연과학동')",0.0
"(4, '중앙도서관')",0.0
"(13, 'LG도서관')",0.0
"(5, '중앙창고')",0.0
"(16, '대학C동')",0.0
"(5, '삼성환경동')",0.0
"(5, '중앙도서관')",0.0
"(17, '축구장')",0.0
"(13, '신재생에너지동')",0.0
"(13, '중앙창고')",0.0
"(17, '산업협력관')",0.0
"(13, '삼성환경동')",0.0
"(10, '중앙연구기기센터')",0.0
"(14, '자연과학동')",0.0
"(20, '기숙사 B동')",0.0
"(5, '학사과정')",0.0
"(13, '중앙도서관')",0.0
"(16, 'LG도서관')",0.0
"(22, '시설관리동')",0.0
"(6, '다산빌딩')",0.0
